"counter","unitid","floorplangroup","floorplanid","location","manufacturer","make","model","class","designation","stocknumber","vin","year","age","holdtype","msrp","dsrp","unitstatus","totalcost","nada","ordernumber","basecost","basefreightcost","invoice","consignmentamount","orderdate","receiveddate","userdefinedamt1","percent_gp_of_dsrp","percent_gp_of_unlock","floorprice","product_description","cost_sheet_invoice","invoice_pre_freight","freight","price_protection_rebate","manufacturer_to_dealer_rebate","nada_original","major_unit_header_id","unit_data_source","userdefinedamt2","userdefinedamt3","igh","max_p","max_r","tradedealid","true_total_cost","makeid","productionzone","pp_created_date","single_pp_created_date","dsrp_variance_flag","msrp_variance_flag","sub_location_name","sub_location_id","cmf_id","current_location","repname","repemail","repphone","consignment_total_cost","CodeName"
"3022",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","29DDB","FW","New","L00071","",2025,46005,"","73749.00","52495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","52395.00","1.000","1.000","0.00","Jayco EAGLE HT 29DDB","-186.06","0.00","-186.06","0.00","0.00","0.00",250073840,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2983",NULL,NULL,NULL,"JOR","Jayco","EAGLE","335RDOK","FW","New","L00078","",2025,46005,"","101048.00","79495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","79395.00","1.000","1.000","0.00","Jayco EAGLE 335RDOK","-186.06","0.00","-186.06","0.00","0.00","0.00",250073931,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2090",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","27MLC","FW","New","L00068","",2025,46005,"","72249.00","54995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","54895.00","1.000","1.000","0.00","Jayco EAGLE HT 27MLC","-186.06","0.00","-186.06","0.00","0.00","0.00",250073802,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2984",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","340CKTS","FW","New","L00083","",2025,46005,"","132668.00","98995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","98895.00","1.000","1.000","0.00","Jayco NORTH POINT 340CKTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250073974,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2949",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","381CKRE","FW","New","L00086","",2025,46005,"","142486.00","106995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","106895.00","1.000","1.000","0.00","Jayco NORTH POINT 381CKRE","-186.06","0.00","-186.06","0.00","0.00","0.00",250074009,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2992",NULL,NULL,NULL,"JOR","Jayco","EAGLE","355MBQS","FW","New","L00079","",2025,46005,"","106555.00","84495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","84395.00","1.000","1.000","0.00","Jayco EAGLE 355MBQS","-186.06","0.00","-186.06","0.00","0.00","0.00",250073943,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2982",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","387FBTS","FW","New","L00088","",2025,46005,"","137393.00","102995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","102895.00","1.000","1.000","0.00","Jayco NORTH POINT 387FBTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250074023,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3026",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","29RLC","FW","New","L00072","",2025,46005,"","75249.00","58995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","58895.00","1.000","1.000","0.00","Jayco EAGLE HT 29RLC","-186.06","0.00","-186.06","0.00","0.00","0.00",250073848,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2970",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","31QCD","FW","New","L00075","",2025,46005,"","79749.00","61495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","61395.00","1.000","1.000","0.00","Jayco EAGLE HT 31QCD","-186.06","0.00","-186.06","0.00","0.00","0.00",250073885,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2968",NULL,NULL,NULL,"JOR","Jayco","EAGLE","370FBTS","FW","New","L00081","",2025,46005,"","103891.00","81995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","81895.00","1.000","1.000","0.00","Jayco EAGLE 370FBTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250073956,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2088",NULL,NULL,NULL,"JOR","Jayco","EAGLE","360DBOK","FW","New","L00080","",2025,46005,"","103304.00","81495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","81395.00","1.000","1.000","0.00","Jayco EAGLE 360DBOK","-186.06","0.00","-186.06","0.00","0.00","0.00",250073951,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3025",NULL,NULL,NULL,"JOR","Jayco","EAGLE SLE","24MLE","FW","New","L00064","",2025,46005,"","55006.00","0.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","0.00",NULL,NULL,"0.00","Jayco EAGLE SLE 24MLE","-186.06","0.00","-186.06","0.00","0.00","0.00",250073748,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
